group,confidence,name,kind,type,class,tier,itemHash,currentSourceText
A. Non-source note,Likely obtainable (review),Azimuth DSu,Weapon,Hand Cannon,,4,653875714,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Badlands Mk.24,Weapon,Shotgun,,4,1457394911,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Badlands Mk.24,Weapon,Shotgun,,4,1995011456,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ballyhoo Mk.27,Weapon,Hand Cannon,,4,2591586263,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ballyhoo Mk.27,Weapon,Hand Cannon,,4,653875712,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Baseline Mark,Armor,Titan Mark,Titan,4,4147032568,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Baseline Mark,Armor,Titan Mark,Titan,4,2165661157,
C. No collectible,Not ruled out (review),Baseline Mark,Armor,Titan Mark,Titan,4,732520437,
C. No collectible,Not ruled out (review),Baseline Mark,Armor,Titan Mark,Titan,4,1022126988,
A. Non-source note,Likely obtainable (review),Bayesian MSu,Weapon,Pulse Rifle,,4,1669771783,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Bayesian MSu,Weapon,Pulse Rifle,,4,1678957656,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Black Shield Mark,Armor,Titan Mark,Titan,4,3625546921,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Black Shield Mark,Armor,Titan Mark,Titan,4,2880545163,
C. No collectible,Not ruled out (review),Black Shield Mark,Armor,Titan Mark,Titan,4,3438103366,
C. No collectible,Not ruled out (review),Black Shield Mark,Armor,Titan Mark,Titan,4,202783988,
A. Non-source note,Likely obtainable (review),Black Tiger-2sr,Weapon,Scout Rifle,,4,3906357378,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Black Tiger-2sr,Weapon,Scout Rifle,,4,1650626965,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Bond of Chiron,Armor,Warlock Bond,Warlock,4,1997953733,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of Chiron,Armor,Warlock Bond,Warlock,4,2833813592,
C. No collectible,Not ruled out (review),Bond of Chiron,Armor,Warlock Bond,Warlock,4,3573886331,
C. No collectible,Not ruled out (review),Bond of Chiron,Armor,Warlock Bond,Warlock,4,320174990,
A. Non-source note,Likely obtainable (review),Bond of Forgotten Wars,Armor,Warlock Bond,Warlock,4,4116038937,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of Forgotten Wars,Armor,Warlock Bond,Warlock,4,3080409700,
C. No collectible,Not ruled out (review),Bond of Forgotten Wars,Armor,Warlock Bond,Warlock,4,4012302343,
C. No collectible,Not ruled out (review),Bond of Forgotten Wars,Armor,Warlock Bond,Warlock,4,1630079134,
A. Non-source note,Likely obtainable (review),Bond of Insight,Armor,Warlock Bond,Warlock,2,1515214785,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of Insight,Armor,Warlock Bond,Warlock,2,341468857,
A. Non-source note,Likely obtainable (review),Bond of Refuge,Armor,Warlock Bond,Warlock,2,691207248,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of Refuge,Armor,Warlock Bond,Warlock,2,2343139242,
A. Non-source note,Likely obtainable (review),Bond of Symmetry,Armor,Warlock Bond,Warlock,3,3088519490,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of Symmetry,Armor,Warlock Bond,Warlock,3,1848999098,
A. Non-source note,Likely obtainable (review),Bond of the Raven Shard,Armor,Warlock Bond,Warlock,3,967275899,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Bond of the Raven Shard,Armor,Warlock Bond,Warlock,3,1048498953,
A. Non-source note,Likely obtainable (review),Botheration Mk.28,Weapon,Shotgun,,4,1457394910,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Botheration Mk.28,Weapon,Shotgun,,4,1995011457,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Brave Titan Gauntlets,Armor,Gauntlets,Titan,2,2166685180,
C. No collectible,Not ruled out (review),Brave Titan Gauntlets,Armor,Gauntlets,Titan,2,2448010882,
C. No collectible,Not ruled out (review),Brave Titan Greaves,Armor,Leg Armor,Titan,2,238766140,
C. No collectible,Not ruled out (review),Brave Titan Greaves,Armor,Leg Armor,Titan,2,1169613062,
C. No collectible,Not ruled out (review),Brave Titan Helm,Armor,Helmet,Titan,2,660037107,
C. No collectible,Not ruled out (review),Brave Titan Helm,Armor,Helmet,Titan,2,1514122509,
C. No collectible,Not ruled out (review),Brave Titan Plate,Armor,Chest Armor,Titan,2,722380134,
C. No collectible,Not ruled out (review),Brave Titan Plate,Armor,Chest Armor,Titan,2,1816178788,
C. No collectible,Not ruled out (review),Brave Titan's Mark,Armor,Titan Mark,Titan,2,2984466361,
C. No collectible,Not ruled out (review),Brave Titan's Mark,Armor,Titan Mark,Titan,2,3538928634,
C. No collectible,Not ruled out (review),Brave Titan's Mark,Armor,Titan Mark,Titan,2,1040474575,
A. Non-source note,Likely obtainable (review),Bushido Bond,Armor,Warlock Bond,Warlock,5,743956488,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Boots,Armor,Leg Armor,Warlock,5,3715719501,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Cloak,Armor,Hunter Cloak,Hunter,5,464665629,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Cowl,Armor,Helmet,Hunter,5,1465235089,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Cowl,Armor,Helmet,Warlock,5,545935602,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Gauntlets,Armor,Gauntlets,Titan,5,2195895938,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Gloves,Armor,Gauntlets,Warlock,5,970712027,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Greaves,Armor,Leg Armor,Titan,5,4281618492,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Grips,Armor,Gauntlets,Hunter,5,81786728,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Helm,Armor,Helmet,Titan,5,407922163,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Mark,Armor,Titan Mark,Titan,5,2517367247,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Plate,Armor,Chest Armor,Titan,5,2199272806,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Robes,Armor,Chest Armor,Warlock,5,2046361909,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Strides,Armor,Leg Armor,Hunter,5,1183125954,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Bushido Vest,Armor,Chest Armor,Hunter,5,1154629600,Random Perks: This item cannot be reacquired from Collections.
C. No collectible,Not ruled out (review),Bushwhacker,Weapon,Grenade Launcher,,5,311852248,
A. Non-source note,Likely obtainable (review),Butler RS/2,Weapon,Rocket Launcher,,3,2037589099,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cadenza-11,Weapon,Pulse Rifle,,3,2213848861,Source: Earned while leveling.
C. No collectible,Likely NOT obtainable,Candescent Bond (Unkindled),Armor,Helmet,Warlock,5,3179985807,
C. No collectible,Likely NOT obtainable,Candescent Boots (Unkindled),Armor,Warlock Bond,Warlock,5,1372428179,
C. No collectible,Likely NOT obtainable,Candescent Cloak (Unkindled),Armor,Helmet,Hunter,5,2840606178,
C. No collectible,Likely NOT obtainable,Candescent Gauntlets (Unkindled),Armor,Gauntlets,Titan,5,2916149327,
C. No collectible,Likely NOT obtainable,Candescent Gloves (Unkindled),Armor,Gauntlets,Warlock,5,2873900232,
C. No collectible,Likely NOT obtainable,Candescent Greaves (Unkindled),Armor,Titan Mark,Titan,5,1103965354,
C. No collectible,Likely NOT obtainable,Candescent Grips (Unkindled),Armor,Gauntlets,Hunter,5,2535002841,
C. No collectible,Likely NOT obtainable,Candescent Helm (Unkindled),Armor,Leg Armor,Titan,5,2056606165,
C. No collectible,Likely NOT obtainable,Candescent Hood (Unkindled),Armor,Leg Armor,Warlock,5,1301766302,
C. No collectible,Likely NOT obtainable,Candescent Mark (Unkindled),Armor,Helmet,Titan,5,3526595120,
C. No collectible,Likely NOT obtainable,Candescent Mask (Unkindled),Armor,Leg Armor,Hunter,5,1743191871,
C. No collectible,Likely NOT obtainable,Candescent Plate (Unkindled),Armor,Chest Armor,Titan,5,1947358241,
C. No collectible,Likely NOT obtainable,Candescent Robes (Unkindled),Armor,Chest Armor,Warlock,5,309633584,
C. No collectible,Likely NOT obtainable,Candescent Strides (Unkindled),Armor,Hunter Cloak,Hunter,5,2160858284,
C. No collectible,Likely NOT obtainable,Candescent Vest (Unkindled),Armor,Chest Armor,Hunter,5,177463495,
C. No collectible,Not ruled out (review),Channeling Cowl,Armor,Helmet,Warlock,5,2964441920,
C. No collectible,Not ruled out (review),Channeling Cowl,Armor,Helmet,Warlock,5,686607148,
C. No collectible,Not ruled out (review),Channeling Robes,Armor,Chest Armor,Warlock,5,72827963,
C. No collectible,Not ruled out (review),Channeling Robes,Armor,Chest Armor,Warlock,5,891933383,
C. No collectible,Not ruled out (review),Channeling Treads,Armor,Leg Armor,Warlock,5,4100217959,
C. No collectible,Not ruled out (review),Channeling Treads,Armor,Leg Armor,Warlock,5,4232174819,
C. No collectible,Not ruled out (review),Channeling Wraps,Armor,Gauntlets,Warlock,5,4177448933,
C. No collectible,Not ruled out (review),Channeling Wraps,Armor,Gauntlets,Warlock,5,530515217,
C. No collectible,Likely NOT obtainable,Chest Armor,Armor,Chest Armor,Hunter,2,648507367,
C. No collectible,Likely NOT obtainable,Chest Armor,Armor,Chest Armor,Titan,2,3933597171,
C. No collectible,Likely NOT obtainable,Chest Armor,Armor,Chest Armor,Warlock,2,2226216068,
A. Non-source note,Likely obtainable (review),Chiron's Cure,Armor,Chest Armor,Warlock,4,295856360,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Chiron's Cure,Armor,Gauntlets,Warlock,4,750431904,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Chiron's Cure,Armor,Helmet,Warlock,4,2959022889,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Chiron's Cure,Armor,Leg Armor,Warlock,4,3740338778,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Chest Armor,Warlock,4,2937068650,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Chest Armor,Warlock,4,2943629439,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Chest Armor,Warlock,4,4177795589,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Gauntlets,Warlock,4,4267370571,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Gauntlets,Warlock,4,484126150,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Gauntlets,Warlock,4,833626649,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Helmet,Warlock,4,550258943,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Helmet,Warlock,4,674335586,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Helmet,Warlock,4,1486292360,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Leg Armor,Warlock,4,3725709067,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Leg Armor,Warlock,4,467612864,
C. No collectible,Not ruled out (review),Chiron's Cure,Armor,Leg Armor,Warlock,4,1488618333,
C. No collectible,Not ruled out (review),Cloak Judgment,Armor,Hunter Cloak,Hunter,5,238320915,
C. No collectible,Not ruled out (review),Cloak Judgment,Armor,Hunter Cloak,Hunter,5,421771595,
A. Non-source note,Likely obtainable (review),Cloak of Retelling,Armor,Hunter Cloak,Hunter,4,1285811484,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Cloak of Retelling,Armor,Hunter Cloak,Hunter,4,4288395850,
C. No collectible,Not ruled out (review),Cloak of Retelling,Armor,Hunter Cloak,Hunter,4,255520209,
C. No collectible,Not ruled out (review),Cloak of Retelling,Armor,Hunter Cloak,Hunter,4,1915498345,
A. Non-source note,Likely obtainable (review),Cosmic Wind,Armor,Gauntlets,Warlock,3,4241323317,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cosmic Wind,Armor,Helmet,Warlock,3,2886549180,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Cosmic Wind,Armor,Gauntlets,Warlock,3,3260546749,
C. No collectible,Not ruled out (review),Cosmic Wind,Armor,Helmet,Warlock,3,3313352164,
A. Non-source note,Likely obtainable (review),Cosmic Wind III,Armor,Chest Armor,Warlock,3,436836011,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cosmic Wind III,Armor,Leg Armor,Warlock,3,1522478103,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Cosmic Wind III,Armor,Chest Armor,Warlock,3,2567295299,
C. No collectible,Not ruled out (review),Cosmic Wind III,Armor,Leg Armor,Warlock,3,1331205087,
C. No collectible,Not ruled out (review),Crushing Greaves,Armor,Leg Armor,Titan,5,2221648234,
C. No collectible,Not ruled out (review),Crushing Greaves,Armor,Leg Armor,Titan,5,3426704396,
C. No collectible,Not ruled out (review),Crushing Guard,Armor,Gauntlets,Titan,5,3025466098,
C. No collectible,Not ruled out (review),Crushing Guard,Armor,Gauntlets,Titan,5,1863012880,
C. No collectible,Not ruled out (review),Crushing Helm,Armor,Helmet,Titan,5,2391227801,
C. No collectible,Not ruled out (review),Crushing Helm,Armor,Helmet,Titan,5,1929400867,
C. No collectible,Not ruled out (review),Crushing Plate,Armor,Chest Armor,Titan,5,784751926,
C. No collectible,Not ruled out (review),Crushing Plate,Armor,Chest Armor,Titan,5,934145080,
A. Non-source note,Likely obtainable (review),Cry Defiance,Armor,Chest Armor,Warlock,3,3238267532,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cry Defiance,Armor,Gauntlets,Warlock,3,765644916,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cry Defiance,Armor,Helmet,Warlock,3,26544805,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cry Defiance,Armor,Leg Armor,Warlock,3,1053383550,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Cry Defiance,Armor,Chest Armor,Warlock,3,2803009638,
C. No collectible,Not ruled out (review),Cry Defiance,Armor,Gauntlets,Warlock,3,76554114,
C. No collectible,Not ruled out (review),Cry Defiance,Armor,Helmet,Warlock,3,2583547635,
C. No collectible,Not ruled out (review),Cry Defiance,Armor,Leg Armor,Warlock,3,2162276668,
A. Non-source note,Likely obtainable (review),Cuboid ARu,Weapon,Auto Rifle,,4,2351747816,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cuboid ARu,Weapon,Auto Rifle,,4,2860172149,Source: Earned while leveling.
B. Empty source string,Likely obtainable (review),Cull's Shadow,Weapon,Fusion Rifle,,6,2200470033,(empty source string)
A. Non-source note,Likely obtainable (review),Cup-Bearer SA/2,Weapon,Rocket Launcher,,4,4221925398,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cup-Bearer SA/2,Weapon,Rocket Launcher,,4,1877183765,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Cydonia-AR1,Weapon,Auto Rifle,,3,2694044461,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Damaged Warlock Boots,Armor,Leg Armor,Warlock,2,2579749301,
C. No collectible,Not ruled out (review),Damaged Warlock Boots,Armor,Leg Armor,Warlock,2,3128930155,
C. No collectible,Not ruled out (review),Damaged Warlock Gloves,Armor,Gauntlets,Warlock,2,234415107,
C. No collectible,Not ruled out (review),Damaged Warlock Gloves,Armor,Gauntlets,Warlock,2,236847737,
C. No collectible,Not ruled out (review),Damaged Warlock Hood,Armor,Helmet,Warlock,2,2292007738,
C. No collectible,Not ruled out (review),Damaged Warlock Hood,Armor,Helmet,Warlock,2,889513448,
C. No collectible,Not ruled out (review),Damaged Warlock Robe,Armor,Chest Armor,Warlock,2,2416634317,
C. No collectible,Not ruled out (review),Damaged Warlock Robe,Armor,Chest Armor,Warlock,2,2422973919,
A. Non-source note,Likely obtainable (review),Damietta-LR2,Weapon,Sniper Rifle,,4,4157959959,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Damietta-LR2,Weapon,Sniper Rifle,,4,1177293326,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Daring Hunter Cloak,Armor,Hunter Cloak,Hunter,2,1056171153,
C. No collectible,Not ruled out (review),Daring Hunter Cloak,Armor,Hunter Cloak,Hunter,2,1188458845,
C. No collectible,Not ruled out (review),Daring Hunter Grips,Armor,Gauntlets,Hunter,2,1961777956,
C. No collectible,Not ruled out (review),Daring Hunter Grips,Armor,Gauntlets,Hunter,2,1961861544,
C. No collectible,Not ruled out (review),Daring Hunter Mask,Armor,Helmet,Hunter,2,3285934677,
C. No collectible,Not ruled out (review),Daring Hunter Mask,Armor,Helmet,Hunter,2,3303733201,
C. No collectible,Not ruled out (review),Daring Hunter Strides,Armor,Leg Armor,Hunter,2,2597269762,
C. No collectible,Not ruled out (review),Daring Hunter Strides,Armor,Leg Armor,Hunter,2,3892423886,
C. No collectible,Not ruled out (review),Daring Hunter Vest,Armor,Chest Armor,Hunter,2,2261200416,
C. No collectible,Not ruled out (review),Daring Hunter Vest,Armor,Chest Armor,Hunter,2,3640744220,
C. No collectible,Not ruled out (review),Dawn Far Off,Weapon,Machine Gun,,5,2770617440,
C. No collectible,Not ruled out (review),Dawn Far Off,Weapon,Machine Gun,,5,1484294659,
A. Non-source note,Likely obtainable (review),Daystar SMG2,Weapon,Submachine Gun,,3,531591353,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),DEADHORSE 04,Weapon,Submachine Gun,,5,822872238,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Ded Acumen II,Weapon,Shotgun,,3,4138415949,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Ded Nemoris II,Weapon,Shotgun,,3,4138415950,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),DIABLERETS 06,Weapon,Machine Gun,,5,1120206506,Random Perks: This item cannot be reacquired from Collections.
B. Empty source string,Likely obtainable (review),Different Times,Weapon,Pulse Rifle,,5,3016891299,(empty source string)
A. Non-source note,Likely obtainable (review),Disaster Corps Bond,Armor,Warlock Bond,Warlock,5,1703017178,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Boots,Armor,Leg Armor,Warlock,5,586381823,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Cloak,Armor,Hunter Cloak,Hunter,5,3957372883,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Gauntlets,Armor,Gauntlets,Titan,5,250597586,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Gloves,Armor,Gauntlets,Warlock,5,2557300061,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Grasps,Armor,Gauntlets,Hunter,5,517814638,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Greaves,Armor,Leg Armor,Titan,5,651836012,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Helm,Armor,Helmet,Titan,5,3408026115,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Hood,Armor,Helmet,Warlock,5,2992986244,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Mark,Armor,Titan Mark,Titan,5,2757996223,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Mask,Armor,Helmet,Hunter,5,2571112423,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Plate,Armor,Chest Armor,Titan,5,3428369046,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Strides,Armor,Leg Armor,Hunter,5,2600892776,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Vest,Armor,Chest Armor,Hunter,5,438409602,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Disaster Corps Vestment,Armor,Chest Armor,Warlock,5,2804194275,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Dissonance-34,Weapon,Sidearm,,4,3809805228,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Dissonance-34,Weapon,Sidearm,,4,711899775,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Eighty-Six,Weapon,Sword,,5,2344383760,Random Perks: This item cannot be reacquired from Collections.
A. Non-source note,Likely obtainable (review),Encore-25,Weapon,Pulse Rifle,,4,1669771780,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Encore-25,Weapon,Pulse Rifle,,4,1678957659,Source: Earned while leveling.
A. Non-source note,Likely obtainable (review),Equinox Tsu,Weapon,Fusion Rifle,,3,1393021133,Source: Earned while leveling.
C. No collectible,Not ruled out (review),Ere the End,Armor,Titan Mark,Titan,5,249698875,
C. No collectible,Not ruled out (review),Ere the End,Armor,Titan Mark,Titan,5,1700762222,
C. No collectible,Not ruled out (review),Ere the End,Armor,Titan Mark,Titan,5,1809381922,
